"DATA No","DATE","TIME","³µËÙ","A1","A2","A3","A4","A1-----A4ID1"
0,2017/11/30,09:37:15,1.443172E+01,-11,9,-8,3488,0
1,2017/11/30,09:37:15,1.443172E+01,-11,10,-10,3484,0
2,2017/11/30,09:37:15,1.443172E+01,-10,8,-11,3479,0
3,2017/11/30,09:37:15,1.443172E+01,-11,5,-6,3468,0
4,2017/11/30,09:37:15,1.443172E+01,-10,3,-3,3461,0
5,2017/11/30,09:37:15,1.443172E+01,-9,3,2,3461,0
6,2017/11/30,09:37:15,1.443172E+01,-9,4,3,3461,0
7,2017/11/30,09:37:15,1.443172E+01,-7,4,3,3458,0
8,2017/11/30,09:37:15,1.443172E+01,-9,2,5,3451,0
9,2017/11/30,09:37:15,1.443172E+01,-7,0,4,3442,0
10,2017/11/30,09:37:15,1.443172E+01,-10,1,5,3437,0
11,2017/11/30,09:37:15,1.443172E+01,-9,2,1,3437,0
12,2017/11/30,09:37:15,1.443172E+01,-11,2,-2,3443,0
13,2017/11/30,09:37:15,1.443172E+01,-11,-1,-6,3450,0
14,2017/11/30,09:37:15,1.443172E+01,-10,-4,-5,3456,0
15,2017/11/30,09:37:15,1.443172E+01,-11,-6,-1,3460,0
16,2017/11/30,09:37:15,1.443172E+01,-9,-3,-1,3460,0
17,2017/11/30,09:37:15,1.443172E+01,-9,1,0,3456,0
18,2017/11/30,09:37:15,1.443172E+01,-9,3,-2,3452,0
19,2017/11/30,09:37:15,1.443172E+01,-10,2,-1,3446,0
20,2017/11/30,09:37:15,1.443172E+01,-11,1,-1,3438,0
21,2017/11/30,09:37:15,1.443172E+01,-10,1,-2,3427,0
22,2017/11/30,09:37:15,1.443172E+01,-11,2,0,3415,0
23,2017/11/30,09:37:15,1.443172E+01,-10,2,0,3404,0
24,2017/11/30,09:37:15,1.443172E+01,-9,1,3,3399,0
25,2017/11/30,09:37:15,1.443172E+01,-9,-2,5,3398,0
26,2017/11/30,09:37:15,1.443172E+01,-8,-5,9,3398,0
27,2017/11/30,09:37:15,1.443172E+01,-10,-7,11,3401,0
28,2017/11/30,09:37:15,1.443172E+01,-8,-5,8,3401,0
29,2017/11/30,09:37:15,1.443172E+01,-10,2,6,3400,0
30,2017/11/30,09:37:15,1.443172E+01,-6,11,1,3394,0
31,2017/11/30,09:37:15,1.443172E+01,-9,16,-1,3387,0
32,2017/11/30,09:37:15,1.443172E+01,-9,15,-6,3376,0
33,2017/11/30,09:37:15,1.443172E+01,-10,12,-8,3367,0
34,2017/11/30,09:37:15,1.443172E+01,-9,8,-7,3359,0
35,2017/11/30,09:37:15,1.443172E+01,-8,4,-7,3352,0
36,2017/11/30,09:37:15,1.443172E+01,-10,1,-2,3348,0
37,2017/11/30,09:37:15,1.443172E+01,-9,-1,-3,3344,0
38,2017/11/30,09:37:15,1.443172E+01,-11,-2,-1,3341,0
39,2017/11/30,09:37:15,1.443172E+01,-10,-4,0,3342,0
40,2017/11/30,09:37:15,1.443172E+01,-10,-5,-1,3340,0
41,2017/11/30,09:37:15,1.443172E+01,-11,-6,0,3341,0
42,2017/11/30,09:37:15,1.443172E+01,-10,-5,-2,3343,0
43,2017/11/30,09:37:15,1.443172E+01,-9,-5,0,3343,0
44,2017/11/30,09:37:15,1.443172E+01,-9,-5,0,3343,0
45,2017/11/30,09:37:15,1.443172E+01,-5,-2,0,3344,0
46,2017/11/30,09:37:15,1.443172E+01,3,1,0,3347,0
