"DATA No","DATE","TIME","³µËÙ","A1","A2","A3","A4","A1-----A4ID1"
0,2017/11/30,09:29:47,1.284706E+01,10,-1,46,3631,5
1,2017/11/30,09:29:47,1.284706E+01,10,0,51,3640,5
2,2017/11/30,09:29:47,1.284706E+01,9,3,56,3655,5
3,2017/11/30,09:29:47,1.284706E+01,7,9,61,3674,5
4,2017/11/30,09:29:47,1.284706E+01,7,16,64,3706,5
5,2017/11/30,09:29:47,1.284706E+01,6,25,60,3736,5
6,2017/11/30,09:29:47,1.284706E+01,6,31,52,3767,5
7,2017/11/30,09:29:47,1.284706E+01,6,35,40,3801,5
8,2017/11/30,09:29:47,1.284706E+01,6,37,27,3835,5
9,2017/11/30,09:29:47,1.284706E+01,6,35,10,3871,5
10,2017/11/30,09:29:47,1.284706E+01,7,32,-6,3911,5
11,2017/11/30,09:29:47,1.284706E+01,7,27,-23,3924,5
12,2017/11/30,09:29:47,1.284706E+01,7,21,-52,3916,5
13,2017/11/30,09:29:47,1.284706E+01,7,14,-77,3896,5
14,2017/11/30,09:29:47,1.284706E+01,9,3,-98,3872,5
15,2017/11/30,09:29:47,1.284706E+01,10,-12,-95,3845,5
16,2017/11/30,09:29:47,1.284706E+01,9,-23,-71,3825,5
17,2017/11/30,09:29:47,1.284706E+01,10,-29,-38,3821,5
18,2017/11/30,09:29:47,1.284706E+01,10,-27,3,3826,5
19,2017/11/30,09:29:47,1.284706E+01,11,-27,31,3830,5
20,2017/11/30,09:29:47,1.284706E+01,10,-27,61,3826,5
21,2017/11/30,09:29:47,1.284706E+01,8,-21,88,3811,5
22,2017/11/30,09:29:47,1.284706E+01,7,-7,113,3781,5
23,2017/11/30,09:29:47,1.284706E+01,7,23,142,3748,5
24,2017/11/30,09:29:47,1.284706E+01,8,52,173,3711,5
25,2017/11/30,09:29:47,1.284706E+01,9,84,191,3667,5
26,2017/11/30,09:29:47,1.284706E+01,9,111,196,3620,5
27,2017/11/30,09:29:47,1.284706E+01,7,126,198,3571,5
28,2017/11/30,09:29:47,1.284706E+01,10,133,195,3515,5
29,2017/11/30,09:29:47,1.284706E+01,7,136,189,3472,5
