"DATA No","DATE","TIME","³µËÙ","A1","A2","A3","A4","A1-----A4ID1"
76,2017/11/30,09:41:23,1.755000E+01,2644,2205,336,3285,2644
77,2017/11/30,09:41:23,1.755000E+01,2643,2164,394,3281,2643
78,2017/11/30,09:41:23,1.755000E+01,2640,2118,436,3277,2640
79,2017/11/30,09:41:23,1.755000E+01,2632,2067,473,3269,2632
80,2017/11/30,09:41:23,1.755000E+01,2618,2016,508,3255,2618
81,2017/11/30,09:41:23,1.755000E+01,2597,1961,545,3241,2597
82,2017/11/30,09:41:23,1.755000E+01,2563,1888,576,3231,2563
83,2017/11/30,09:41:23,1.755000E+01,2540,1827,602,3224,2540
84,2017/11/30,09:41:23,1.755000E+01,2505,1768,621,3221,2505
85,2017/11/30,09:41:23,1.755000E+01,2469,1700,637,3223,2469
86,2017/11/30,09:41:23,1.755000E+01,2439,1626,653,3221,2439
87,2017/11/30,09:41:23,1.755000E+01,2415,1554,674,3208,2415
88,2017/11/30,09:41:23,1.755000E+01,2404,1468,687,3191,2404
89,2017/11/30,09:41:23,1.755000E+01,2405,1406,693,3179,2405
90,2017/11/30,09:41:23,1.755000E+01,2409,1339,680,3171,2409
91,2017/11/30,09:41:23,1.755000E+01,2412,1272,657,3164,2412
92,2017/11/30,09:41:23,1.755000E+01,2403,1212,645,3159,2403
93,2017/11/30,09:41:23,1.755000E+01,2387,1161,635,3159,2387
94,2017/11/30,09:41:23,1.755000E+01,2345,1102,621,3162,2345
95,2017/11/30,09:41:23,1.755000E+01,2304,1044,600,3169,2304
96,2017/11/30,09:41:23,1.755000E+01,2274,971,582,3180,2274
97,2017/11/30,09:41:23,1.755000E+01,2269,889,568,3192,2269
98,2017/11/30,09:41:23,1.755000E+01,2283,820,550,3208,2283
99,2017/11/30,09:41:23,1.755000E+01,2291,774,524,3233,2291
100,2017/11/30,09:41:23,1.755000E+01,2286,750,494,3259,2286
101,2017/11/30,09:41:23,1.755000E+01,2275,740,456,3287,2275
102,2017/11/30,09:41:23,1.755000E+01,2266,729,419,3312,2266
