"DATA No","DATE","TIME","³µËÙ","A1","A2","A3","A4","A1-----A4ID1"
87,2017/11/30,09:44:05,1.882759E+01,2261,1033,711,2690,2261
88,2017/11/30,09:44:05,1.882759E+01,2243,946,700,2685,2243
89,2017/11/30,09:44:05,1.882759E+01,2250,864,688,2675,2250
90,2017/11/30,09:44:05,1.882759E+01,2269,802,660,2668,2269
91,2017/11/30,09:44:05,1.882759E+01,2287,765,619,2663,2287
92,2017/11/30,09:44:05,1.882759E+01,2278,744,577,2663,2278
93,2017/11/30,09:44:05,1.882759E+01,2260,725,522,2667,2260
94,2017/11/30,09:44:05,1.882759E+01,2246,707,480,2672,2246
95,2017/11/30,09:44:05,1.882759E+01,2235,695,443,2678,2235
96,2017/11/30,09:44:05,1.882759E+01,2239,696,406,2690,2239
97,2017/11/30,09:44:05,1.882759E+01,2255,714,373,2717,2255
98,2017/11/30,09:44:05,1.882759E+01,2281,742,341,2743,2281
99,2017/11/30,09:44:05,1.882759E+01,2302,773,305,2769,2302
100,2017/11/30,09:44:05,1.882759E+01,2314,787,272,2791,2314
101,2017/11/30,09:44:05,1.882759E+01,2321,796,228,2809,2321
102,2017/11/30,09:44:05,1.882759E+01,2328,813,173,2814,2328
103,2017/11/30,09:44:05,1.882759E+01,2330,846,110,2801,2330
104,2017/11/30,09:44:05,1.882759E+01,2338,897,34,2787,2338
105,2017/11/30,09:44:05,1.882759E+01,2355,972,-92,2779,2355
106,2017/11/30,09:44:05,1.882759E+01,2373,1027,-189,2772,2373
107,2017/11/30,09:44:05,1.882759E+01,2392,1073,-232,2769,2392
108,2017/11/30,09:44:05,1.882759E+01,2405,1116,-221,2777,2405
109,2017/11/30,09:44:05,1.882759E+01,2416,1163,-184,2807,2416
110,2017/11/30,09:44:05,1.882759E+01,2434,1213,-143,2841,2434
111,2017/11/30,09:44:05,1.882759E+01,2440,1272,-50,2868,2440
112,2017/11/30,09:44:05,1.882759E+01,2443,1316,58,2887,2443
113,2017/11/30,09:44:05,1.882759E+01,2444,1356,137,2890,2444
114,2017/11/30,09:44:05,1.882759E+01,2441,1391,161,2876,2441
115,2017/11/30,09:44:05,1.882759E+01,2439,1417,173,2835,2439
116,2017/11/30,09:44:05,1.882759E+01,2442,1445,230,2793,2442
