"DATA No","DATE","TIME","³µËÙ","A1","A2","A3","A4","A1-----A4ID1"
0,2017/11/30,09:46:58,7.439817E+00,3,12,3,3503,-2
1,2017/11/30,09:46:58,7.439817E+00,2,12,4,3503,-2
2,2017/11/30,09:46:58,7.439817E+00,2,13,4,3505,-2
3,2017/11/30,09:46:58,7.439817E+00,3,13,3,3506,-2
4,2017/11/30,09:46:58,7.439817E+00,2,12,4,3505,-2
5,2017/11/30,09:46:58,7.439817E+00,3,11,4,3503,-2
6,2017/11/30,09:46:58,7.439817E+00,2,8,5,3501,-2
7,2017/11/30,09:46:58,7.439817E+00,3,5,5,3499,-2
8,2017/11/30,09:46:58,7.439817E+00,3,1,6,3498,-2
9,2017/11/30,09:46:58,7.439817E+00,3,-3,6,3498,-2
10,2017/11/30,09:46:58,7.439817E+00,2,-6,6,3497,-2
11,2017/11/30,09:46:58,7.439817E+00,0,-8,5,3495,-2
12,2017/11/30,09:46:58,7.439817E+00,1,-9,4,3494,-2
13,2017/11/30,09:46:58,7.439817E+00,0,-7,4,3492,-2
14,2017/11/30,09:46:58,7.439817E+00,1,-5,2,3489,-2
15,2017/11/30,09:46:58,7.439817E+00,2,-1,3,3486,-2
16,2017/11/30,09:46:58,7.439817E+00,2,2,2,3483,-2
17,2017/11/30,09:46:58,7.439817E+00,4,5,2,3481,-2
18,2017/11/30,09:46:58,7.439817E+00,3,10,3,3479,-2
19,2017/11/30,09:46:58,7.439817E+00,4,15,1,3479,-2
20,2017/11/30,09:46:58,7.439817E+00,3,17,4,3478,-2
21,2017/11/30,09:46:58,7.439817E+00,2,19,3,3479,-2
22,2017/11/30,09:46:58,7.439817E+00,2,19,4,3479,-2
23,2017/11/30,09:46:58,7.439817E+00,2,18,4,3478,-2
24,2017/11/30,09:46:58,7.439817E+00,4,17,2,3478,-2
25,2017/11/30,09:46:58,7.439817E+00,3,14,4,3476,-2
26,2017/11/30,09:46:58,7.439817E+00,4,9,3,3472,-2
27,2017/11/30,09:46:58,7.439817E+00,3,4,5,3468,-2
28,2017/11/30,09:46:58,7.439817E+00,3,2,5,3464,-2
29,2017/11/30,09:46:58,7.439817E+00,3,1,4,3462,-2
30,2017/11/30,09:46:58,7.439817E+00,1,1,6,3462,-2
31,2017/11/30,09:46:58,7.439817E+00,2,0,5,3464,-2
32,2017/11/30,09:46:58,7.439817E+00,1,-1,7,3467,-2
33,2017/11/30,09:46:58,7.439817E+00,2,-2,6,3468,-2
34,2017/11/30,09:46:58,7.439817E+00,1,-2,7,3466,-2
35,2017/11/30,09:46:58,7.439817E+00,2,-1,6,3465,-2
36,2017/11/30,09:46:58,7.439817E+00,3,0,5,3463,-2
37,2017/11/30,09:46:58,7.439817E+00,2,3,3,3460,-2
38,2017/11/30,09:46:58,7.439817E+00,3,7,0,3457,-2
39,2017/11/30,09:46:58,7.439817E+00,2,12,0,3453,-2
40,2017/11/30,09:46:58,7.439817E+00,2,15,-2,3450,-2
41,2017/11/30,09:46:58,7.439817E+00,2,16,-1,3448,-2
42,2017/11/30,09:46:58,7.439817E+00,2,16,-1,3445,-2
43,2017/11/30,09:46:58,7.439817E+00,3,15,0,3442,-2
44,2017/11/30,09:46:58,7.439817E+00,2,11,3,3437,-2
45,2017/11/30,09:46:58,7.439817E+00,4,5,1,3433,-2
46,2017/11/30,09:46:58,7.439817E+00,3,1,4,3428,-2
47,2017/11/30,09:46:58,7.439817E+00,4,-1,4,3425,-2
48,2017/11/30,09:46:58,7.439817E+00,4,0,6,3423,-2
49,2017/11/30,09:46:58,7.439817E+00,2,1,8,3421,-2
50,2017/11/30,09:46:58,7.439817E+00,2,4,6,3421,-2
51,2017/11/30,09:46:58,7.439817E+00,0,7,9,3422,-2
52,2017/11/30,09:46:58,7.439817E+00,2,10,6,3424,-2
53,2017/11/30,09:46:58,7.439817E+00,1,12,6,3425,-2
54,2017/11/30,09:46:58,7.439817E+00,1,11,5,3425,-2
55,2017/11/30,09:46:58,7.439817E+00,3,9,4,3424,-2
56,2017/11/30,09:46:58,7.439817E+00,3,6,4,3421,-2
57,2017/11/30,09:46:58,7.439817E+00,4,3,0,3418,-2
58,2017/11/30,09:46:58,7.439817E+00,2,1,0,3415,-2
59,2017/11/30,09:46:58,7.439817E+00,2,0,-3,3411,-2
60,2017/11/30,09:46:58,7.439817E+00,2,0,-2,3405,-2
61,2017/11/30,09:46:58,7.439817E+00,1,1,-1,3397,-2
62,2017/11/30,09:46:58,7.439817E+00,3,3,0,3388,-2
63,2017/11/30,09:46:58,7.439817E+00,2,5,3,3381,-2
64,2017/11/30,09:46:58,7.439817E+00,5,6,6,3374,-2
65,2017/11/30,09:46:58,7.439817E+00,3,5,10,3370,-2
66,2017/11/30,09:46:58,7.439817E+00,4,3,12,3370,-2
67,2017/11/30,09:46:58,7.439817E+00,5,3,15,3372,-2
68,2017/11/30,09:46:58,7.439817E+00,3,3,16,3374,-2
69,2017/11/30,09:46:58,7.439817E+00,4,5,15,3374,-2
70,2017/11/30,09:46:58,7.439817E+00,2,7,13,3373,-2
71,2017/11/30,09:46:58,7.439817E+00,3,9,7,3371,-2
72,2017/11/30,09:46:58,7.439817E+00,2,10,4,3369,-2
73,2017/11/30,09:46:58,7.439817E+00,3,12,-1,3366,-2
74,2017/11/30,09:46:58,7.439817E+00,4,13,-3,3362,-2
75,2017/11/30,09:46:58,7.439817E+00,3,12,-3,3359,-2
76,2017/11/30,09:46:58,7.439817E+00,4,10,-3,3356,-2
77,2017/11/30,09:46:58,7.439817E+00,1,8,0,3354,-2
78,2017/11/30,09:46:58,7.439817E+00,1,5,-1,3354,-2
79,2017/11/30,09:46:58,7.439817E+00,1,2,1,3355,-2
80,2017/11/30,09:46:58,7.439817E+00,0,-2,2,3358,-2
81,2017/11/30,09:46:58,7.439817E+00,2,-5,2,3364,-2
82,2017/11/30,09:46:58,7.439817E+00,2,-6,5,3373,-2
83,2017/11/30,09:46:58,7.439817E+00,4,-4,3,3386,-2
84,2017/11/30,09:46:58,7.439817E+00,3,-1,6,3397,-2
85,2017/11/30,09:46:58,7.439817E+00,3,2,4,3406,-2
86,2017/11/30,09:46:58,7.439817E+00,3,5,5,3411,-2
87,2017/11/30,09:46:58,7.439817E+00,2,7,5,3412,-2
88,2017/11/30,09:46:58,7.439817E+00,3,8,6,3415,-2
89,2017/11/30,09:46:58,7.439817E+00,3,9,7,3421,-2
90,2017/11/30,09:46:58,7.439817E+00,5,9,5,3429,-2
91,2017/11/30,09:46:58,7.439817E+00,7,9,5,3433,-2
92,2017/11/30,09:46:58,7.439817E+00,12,6,3,3431,-2
93,2017/11/30,09:46:58,7.439817E+00,17,4,3,3425,-2
94,2017/11/30,09:46:58,7.439817E+00,18,3,3,3417,-2
95,2017/11/30,09:46:58,7.439817E+00,22,4,1,3411,-2
96,2017/11/30,09:46:58,7.439817E+00,39,5,1,3401,-2
97,2017/11/30,09:46:58,7.439817E+00,80,7,0,3386,-2
98,2017/11/30,09:46:58,7.439817E+00,139,9,2,3361,-2
99,2017/11/30,09:46:58,7.439817E+00,229,8,3,3338,-2
100,2017/11/30,09:46:58,7.439817E+00,303,6,3,3316,-2
