"DATA No","DATE","TIME","³µËÙ","A1","A2","A3","A4","A1-----A4ID1"
0,2017/11/30,09:27:29,9.377863E+00,8,15,-43,3639,1
1,2017/11/30,09:27:29,9.377863E+00,6,-15,-48,3647,1
2,2017/11/30,09:27:29,9.377863E+00,8,-29,-37,3655,1
3,2017/11/30,09:27:29,9.377863E+00,8,-33,-22,3658,1
4,2017/11/30,09:27:29,9.377863E+00,8,-29,-14,3654,1
5,2017/11/30,09:27:29,9.377863E+00,8,-23,-7,3645,1
6,2017/11/30,09:27:29,9.377863E+00,6,-17,0,3634,1
7,2017/11/30,09:27:29,9.377863E+00,7,-5,-3,3633,1
8,2017/11/30,09:27:29,9.377863E+00,7,4,-8,3638,1
9,2017/11/30,09:27:29,9.377863E+00,8,11,-17,3649,1
10,2017/11/30,09:27:29,9.377863E+00,7,13,-19,3657,1
11,2017/11/30,09:27:29,9.377863E+00,8,13,-19,3662,1
12,2017/11/30,09:27:29,9.377863E+00,11,12,-17,3665,1
13,2017/11/30,09:27:29,9.377863E+00,11,9,-9,3664,1
14,2017/11/30,09:27:29,9.377863E+00,11,7,-3,3661,1
15,2017/11/30,09:27:29,9.377863E+00,8,6,5,3654,1
16,2017/11/30,09:27:29,9.377863E+00,7,6,12,3647,1
17,2017/11/30,09:27:29,9.377863E+00,5,10,27,3640,1
18,2017/11/30,09:27:29,9.377863E+00,7,15,38,3633,1
19,2017/11/30,09:27:29,9.377863E+00,9,22,44,3630,1
20,2017/11/30,09:27:29,9.377863E+00,8,25,38,3629,1
21,2017/11/30,09:27:29,9.377863E+00,10,27,28,3626,1
22,2017/11/30,09:27:29,9.377863E+00,6,25,19,3622,1
23,2017/11/30,09:27:29,9.377863E+00,4,20,9,3616,1
24,2017/11/30,09:27:29,9.377863E+00,3,12,4,3605,1
25,2017/11/30,09:27:29,9.377863E+00,4,2,-1,3592,1
26,2017/11/30,09:27:29,9.377863E+00,6,-3,1,3576,1
27,2017/11/30,09:27:29,9.377863E+00,7,-5,2,3562,1
28,2017/11/30,09:27:29,9.377863E+00,8,-4,1,3549,1
29,2017/11/30,09:27:29,9.377863E+00,7,0,1,3542,1
30,2017/11/30,09:27:29,9.377863E+00,8,3,-1,3539,1
31,2017/11/30,09:27:29,9.377863E+00,7,5,3,3541,1
32,2017/11/30,09:27:29,9.377863E+00,8,5,7,3543,1
33,2017/11/30,09:27:29,9.377863E+00,8,6,13,3544,1
34,2017/11/30,09:27:29,9.377863E+00,7,8,19,3543,1
35,2017/11/30,09:27:29,9.377863E+00,8,10,21,3541,1
36,2017/11/30,09:27:29,9.377863E+00,6,14,23,3534,1
37,2017/11/30,09:27:29,9.377863E+00,8,16,18,3527,1
38,2017/11/30,09:27:29,9.377863E+00,4,18,17,3518,1
39,2017/11/30,09:27:29,9.377863E+00,4,18,13,3510,1
40,2017/11/30,09:27:29,9.377863E+00,5,17,11,3503,1
41,2017/11/30,09:27:29,9.377863E+00,3,16,10,3497,1
42,2017/11/30,09:27:29,9.377863E+00,6,14,7,3493,1
43,2017/11/30,09:27:29,9.377863E+00,5,11,5,3492,1
44,2017/11/30,09:27:29,9.377863E+00,6,9,1,3489,1
45,2017/11/30,09:27:29,9.377863E+00,7,7,-1,3486,1
46,2017/11/30,09:27:29,9.377863E+00,7,4,-4,3479,1
47,2017/11/30,09:27:29,9.377863E+00,8,1,-4,3471,1
48,2017/11/30,09:27:29,9.377863E+00,7,-2,-4,3461,1
49,2017/11/30,09:27:29,9.377863E+00,8,-6,-3,3453,1
50,2017/11/30,09:27:29,9.377863E+00,7,-8,0,3447,1
51,2017/11/30,09:27:29,9.377863E+00,9,-9,0,3442,1
52,2017/11/30,09:27:29,9.377863E+00,7,-9,3,3442,1
53,2017/11/30,09:27:29,9.377863E+00,9,-7,6,3445,1
54,2017/11/30,09:27:29,9.377863E+00,7,-4,10,3450,1
55,2017/11/30,09:27:29,9.377863E+00,6,2,14,3450,1
56,2017/11/30,09:27:29,9.377863E+00,7,7,14,3446,1
57,2017/11/30,09:27:29,9.377863E+00,4,11,14,3442,1
58,2017/11/30,09:27:29,9.377863E+00,7,15,12,3438,1
59,2017/11/30,09:27:29,9.377863E+00,6,17,11,3436,1
60,2017/11/30,09:27:29,9.377863E+00,7,18,12,3437,1
61,2017/11/30,09:27:29,9.377863E+00,8,19,12,3436,1
